Material,APD (60%),COD (20%),RDS (20%),Supply Risk
Sn,0.284,0.125,0.294,0.25394103
Ag,0.113,0.7,0.291,0.265766466
Mn,0.473,0.125,0.317,0.372432398
Hf,0.099,0.92,0.304,0.304252645
Li,0.436,0.182,0.58,0.414037519
Re,0.209,0.875,0.256,0.351853614
V,0.444,0.3,0.313,0.389091732
Pd,0.314,0.723,0.216,0.375878322
C(g),0.413,0.5,0.378,0.423192139
In,0.337,0.875,0.301,0.437641744
Pt,0.407,0.567,0.233,0.404279964
Mg,0.718,0.125,0.225,0.500567214
Ce,0.684,0.955,0.254,0.652405258
La,0.684,0.971,0.235,0.651863754
Ge,0.445,0.875,0.514,0.544678521
Sm,0.684,0.998,0.454,0.700991244
Rh,0.576,0.834,0.214,0.555252841
Nd,0.684,0.704,0.861,0.723596765
Te,0.359,0.875,1,0.590574758
Pr,0.684,0.873,0.847,0.754523342
Co,0.754,0.688,0.58,0.70564341
Eu,1,0.994,0,0.798813156
Y,1,0.877,0.142,0.803868456
Tb,1,0.93,0.583,0.902497131
Gd,1,0.976,0.592,0.913481716
Ga,0.944,0.875,0.527,0.846604402
Dy,1,0.772,0.878,0.929922276
Ni,0.128,0.125,0.303,0.162593004
Cu,0.3,0.3,0.8,0.56
Al,0.2,0.1,0.4,0.56